douban_id,imdb
1291543,tt0373074
1291544,tt0304141
1291545,tt0319061
1291546,tt0106332
1291548,tt0097165
1291549,tt0372824
1291550,tt0439884
1291552,tt0167260
1291553,tt0107617
1291554,tt0293508
1291555,tt0212712
1291556,tt0086022
1291557,tt0118694
1291558,tt0114086
1291559,tt0101318
1291560,tt0096283
1291561,tt0245429
1291562,tt0168629
1291563,tt0304808
1291564,tt0318742
1291565,tt0286244
1291566,tt0347246
1291568,tt0046438
1291569,tt0293416
1291571,tt0120737
1291572,tt0167261
1291573,tt0120623
1291574,tt0120363
1291575,tt0114709
1291576,tt0348121
1291577,tt0317705
1291578,tt0268380
1291579,tt0198781
1291580,tt0266697
1291581,tt0126029
1291582,tt0298148
1291583,tt0092067
1291584,tt0378194
1291585,tt0087544
1291586,tt0266543
1291587,tt0120794
1291588,tt0102587
1291818,tt0111797
1291822,tt0395169
1291823,tt0373926
1291824,tt0265086
1291828,tt0095765
1291829,tt0108328
1291830,tt0416634
1291831,tt0346336
1291832,tt0110912
1291833,tt0375063
1291834,tt0087892
1291835,tt0335266
1291836,tt0335119
1291838,tt0104652
1291839,tt0083658
1291840,tt0089755
1291841,tt0068646
1291842,tt0098635
1291843,tt0133093
1291844,tt0103064
1291845,tt0091886
1291846,tt0101761
1291847,tt0276501
1291848,tt0318025
1291849,tt0360216
1291850,tt0258885
1291851,tt0144020
1291852,tt0120679
1291853,tt0116209
1291854,tt0414796
1291855,tt0200486
1291856,tt0309987
1291857,tt0186508
1291858,tt0245929
1291859,tt0096332
1291860,tt0069452
1291861,tt0076460
1291862,tt0320790
1291863,tt0327002
1291864,tt0081632
1291865,tt0043306
1291866,tt0072448
1291867,tt0094608
1291868,tt0101316
1291869,tt0103772
1291870,tt0095953
1291871,tt0083722
1291872,tt0080009
1291874,tt0045162
1291875,tt0111786
1291876,tt0087433
1291877,tt0101765
1291878,tt0275491
1291879,tt0042876
1291936,tt0113568
1291937,tt0185125
1291976,tt0089606
1291989,tt0070544
1291990,tt0381681
1291991,tt0357058
1291992,tt0103074
1291999,tt0109424
1292000,tt0137523
1292001,tt0120731
1292047,tt0111495
