Const,Your Rating,Date Rated,Title,Directors,Actors,Country,Year,Genres,Douban Rating,Num Votes,MyComment,URL,Cover URL,douban_id
tt0082096,4,2025-08-14,从海底出击,沃尔夫冈·彼德森,"尤尔根·普洛斯诺, 赫贝特·格勒内梅厄, Klaus Wennemann",西德,1981,"剧情, 历史, 战争",9.1,49516,,https://movie.douban.com/subject/1293909/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2088879323.jpg,1293909
tt0073800,0,2025-08-09,流浪艺人,西奥·安哲罗普洛斯,"伊娃·科塔曼尼多, Aliki Georgouli, Stratos Pahis",希腊,1975,"剧情, 历史, 战争",8.5,6974,,https://movie.douban.com/subject/1295759/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2878306733.jpg,1295759
tt1112802,4,2025-08-08,白色巨塔,"西谷弘, 河野圭太, 村上正典, 岩田和行","唐泽寿明, 江口洋介, 黑木瞳",日本,2003,剧情,9.7,169546,当教授之后就看的挺难受了，虽然结局挽回了一些，虽然也能理解平民视角医院就是反派的角色，但律师说的什么就算救过3000人，死过一个就是有罪的，还是太离谱了。不知道是里见演技问题还是角色设定，看上去还是太过脸谱化，完全的理想角色，只关注过程正义可以放弃结果。很难形容全是这种“理想”真会有更好的未来吗。,https://movie.douban.com/subject/2150220/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2892515613.jpg,2150220
tt3248598,0,2025-08-05,胜者即是正义2,"石川淳一, 城宝秀则, 西坂瑞城","堺雅人, 新垣结衣, 冈田将生",日本,2013,"喜剧, 悬疑, 犯罪",9.4,274836,,https://movie.douban.com/subject/23997724/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2171877514.jpg,23997724
tt2276587,0,2025-08-03,胜者即是正义,"石川淳一, 城宝秀则","堺雅人, 新垣结衣, 生濑胜久",日本,2012,"剧情, 喜剧, 犯罪",9.4,378042,,https://movie.douban.com/subject/10491666/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1901775591.jpg,10491666
tt1882928,3,2025-08-02,深夜食堂,"松冈锭司, 山下敦弘, 及川拓郎","小林薰, 须藤理彩, 田畑智子",日本,2009,剧情,9.2,190062,俗套的小制作短片电影合集,https://movie.douban.com/subject/3991933/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1584946881.jpg,3991933
tt31193180,4,2025-08-01,罪人,瑞恩·库格勒,"迈克尔·B·乔丹, 海莉·斯坦菲尔德, 迈尔斯·凯顿",美国 澳大利亚 加拿大,2025,"剧情, 动作, 惊悚",7.7,56248,,https://movie.douban.com/subject/36742579/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2920268831.jpg,36742579
tt1045658,3,2025-07-31,乌云背后的幸福线,大卫·O·拉塞尔,"布莱德利·库珀, 詹妮弗·劳伦斯, 罗伯特·德尼罗",美国,2012,"剧情, 喜剧, 爱情",7.7,185372,,https://movie.douban.com/subject/3094909/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1755867083.jpg,3094909
tt3779028,3,2025-07-24,局内人,禹民镐,"李炳宪, 曹承佑, 白润植",韩国,2015,"剧情, 动作, 惊悚",8.1,131407,,https://movie.douban.com/subject/25862354/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2275293773.jpg,25862354
tt1478839,3,2025-07-20,我在雨中等你,西蒙·柯蒂斯,"凯文·科斯特纳, 米洛·文堤米利亚, 阿曼达·塞弗里德",美国,2019,"剧情, 喜剧, 爱情",8.4,86425,,https://movie.douban.com/subject/3882427/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2557226052.jpg,3882427
tt0087301,4,2025-07-20,芙蓉镇,谢晋,"刘晓庆, 姜文, 郑在石",中国大陆,1987,"剧情, 爱情",9.3,181387,,https://movie.douban.com/subject/1297880/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2575337180.jpg,1297880
tt0363589,4,2025-07-19,大象,格斯·范·桑特,"阿里克斯·弗罗斯特, 约翰·罗宾森, 埃里克·德伦",美国,2003,"剧情, 犯罪",7.9,78704,电影镜头质感很不错，哪怕重复的跟拍也不无聊,https://movie.douban.com/subject/1292272/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p1156027521.jpg,1292272
tt1791528,4,2025-07-17,性本恶,保罗·托马斯·安德森,"华金·菲尼克斯, 乔什·布洛林, 欧文·威尔逊",美国,2014,"剧情, 喜剧, 犯罪",7.1,14511,,https://movie.douban.com/subject/5432221/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2217472082.jpg,5432221
